"sha256","count","bytes","kind","paths"
"7ABCFA8C98511E98BE63CE305DCF787C680B52DD5115783B4AC18E97CEFDA385","5","2898","brand","MAGNE.AI/assets/brand/ecosystem/aylab.webp | MAGNE.AI/assets/brand/ecosystem/aylab2.webp | MAGNE.AI/assets/brand/partners/aylab.png | MAGNE.AI/assets/brand/partners/ecosystem/aylab.webp | MAGNE.AI/assets/brand/partners/ecosystem/aylab2.webp"
"D8919A387610DCCBBD0F150C9E297279E9551571EBD53F9EE98F16492DBFD440","4","10167","brand","MAGNE.AI/assets/brand/ecosystem/becker.png | MAGNE.AI/assets/brand/partners/becker.png | MAGNE.AI/assets/brand/partners/ecosystem/becker.png | MAGNE.AI/assets/brand/partners/strategic/becker.png"
"293963CF0376746DAD0F2B04A7F6ACCA2D21AE494C8DCD540452A6FF752A0AE7","2","8460","brand","MAGNE.AI/assets/brand/ecosystem/becker_web.png | MAGNE.AI/assets/brand/partners/ecosystem/becker_web.png"
"E0C92129B070CB2E58EBD7326BFFC70DB88CD32210ECCC408E5D928CC41C5833","4","4286","brand","MAGNE.AI/assets/brand/ecosystem/beosin.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/beosin.png | MAGNE.AI/assets/brand/partners/beosin.png | MAGNE.AI/assets/brand/partners/ecosystem/beosin.png"
"B8E4948D74F94B56C9B9CBB6D6AEF8EE6C79C87CE72614DE55FBA5C3DFFA3C1C","5","42967","brand","MAGNE.AI/assets/brand/ecosystem/bitget.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/bitget.png | MAGNE.AI/assets/brand/partners/bitget.png | MAGNE.AI/assets/brand/partners/ecosystem/bitget.png | MAGNE.AI/assets/brand/partners/strategic/bitget.png"
"8CBCDB4E6D09139B29994C07172B061960F49B62390C769C5A8442B0DBA3EB76","4","5306","brand","MAGNE.AI/assets/brand/ecosystem/bitpush.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/bitpush.png | MAGNE.AI/assets/brand/partners/bitpush.png | MAGNE.AI/assets/brand/partners/ecosystem/bitpush.png"
"0A0776DC82229847B13E5D569F3403E376AEDFF17CECA75019DA8F0A87403F1A","2","4830","brand","MAGNE.AI/assets/brand/ecosystem/bitpush_web.png | MAGNE.AI/assets/brand/partners/ecosystem/bitpush_web.png"
"334B3538A3D619E203517C623E8CAF82FF4DAEF19D92C4F692B443E9D15E7CA8","4","19501","brand","MAGNE.AI/assets/brand/ecosystem/blockbeats.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/blockbeats.svg | MAGNE.AI/assets/brand/partners/blockbeats.svg | MAGNE.AI/assets/brand/partners/ecosystem/blockbeats.svg"
"92895E77AE30AF857C0F6E0C5D430455C08170BD47641A24EEBA1D68B16B2397","3","302","brand","MAGNE.AI/assets/brand/ecosystem/blockbeats_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/blockbeats_web.png | MAGNE.AI/assets/brand/partners/ecosystem/blockbeats_web.png"
"6F8FD3171E77148EC312EA645B957F57CAFB301DE5431EE646298ABCB638995E","4","154378","brand","MAGNE.AI/assets/brand/ecosystem/castrum.png | MAGNE.AI/assets/brand/partners/castrum.png | MAGNE.AI/assets/brand/partners/ecosystem/castrum.png | MAGNE.AI/assets/brand/partners/strategic/castrum.png"
"19BF7793358D0B83AD916DB94D9366C5313415ABD45B126685EA9888C56B0696","2","5172","brand","MAGNE.AI/assets/brand/ecosystem/castrum_web.png | MAGNE.AI/assets/brand/partners/ecosystem/castrum_web.png"
"EAB363408B79544359825A999EE7D47AEB1A03DE0FE278A13F671469B4C82F5A","4","5121","brand","MAGNE.AI/assets/brand/ecosystem/chaincatcher_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/chaincatcher_web.png | MAGNE.AI/assets/brand/partners/chaincatcher_web.png | MAGNE.AI/assets/brand/partners/ecosystem/chaincatcher_web.png"
"AB952B2F8A6107C18818D72CEDD2F1F0DF9A5B477CCA16DAC3135F26DE21FE80","4","2352","brand","MAGNE.AI/assets/brand/ecosystem/chainthink.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/chainthink.png | MAGNE.AI/assets/brand/partners/chainthink.png | MAGNE.AI/assets/brand/partners/ecosystem/chainthink.png"
"C3382306034A8A47922D6880B36BA4B33010D64028773458B8674BF9A2B0F8F3","4","5771","brand","MAGNE.AI/assets/brand/ecosystem/cheersland.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/cheersland.png | MAGNE.AI/assets/brand/partners/cheersland.png | MAGNE.AI/assets/brand/partners/ecosystem/cheersland.png"
"B028F62A0B7BEAD47A53E9953031537A99FD64105B26FBA72A40122FFCCD6970","4","4303","brand","MAGNE.AI/assets/brand/ecosystem/cipherbc.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/cipherbc.png | MAGNE.AI/assets/brand/partners/cipherbc.png | MAGNE.AI/assets/brand/partners/ecosystem/cipherbc.png"
